base,period start,period end,fee,lower limit,upper limit,rate,days
0,2021-02-17,2021-10-14,0.0,0,1000,3.0,239
4587,2021-07-13,2021-08-19,8.37,4000,5000,1.8,37
470,2021-09-05,2021-11-23,3.05,0,1000,3.0,79
9347,2021-05-20,2021-09-13,8.91,9000,100000,0.3,116
8310,2021-01-13,2021-01-31,2.46,8000,9000,0.6,18
5297,2021-09-02,2021-09-02,0.0,5000,6000,1.5,0
3834,2021-01-25,2021-06-15,31.1,3000,4000,2.1,141
6868,2021-08-03,2021-12-20,31.39,6000,7000,1.2,139
8462,2021-07-11,2021-07-26,2.09,8000,9000,0.6,15
6539,2021-06-01,2021-10-28,32.03,6000,7000,1.2,149
9103,2021-10-05,2021-10-27,1.65,9000,100000,0.3,22
475,2021-09-25,2021-10-26,1.21,0,1000,3.0,31
6326,2021-10-03,2021-12-30,18.3,6000,7000,1.2,88
3653,2021-03-31,2021-12-26,56.75,3000,4000,2.1,270
7227,2021-10-02,2021-11-29,10.34,7000,8000,0.9,58
727,2021-08-18,2021-12-15,7.11,0,1000,3.0,119
2727,2021-06-08,2021-11-12,28.15,2000,3000,2.4,157
4777,2021-03-28,2021-06-12,17.9,4000,5000,1.8,76
3593,2021-03-02,2021-07-27,30.39,3000,4000,2.1,147
8977,2021-11-27,2021-11-29,0.3,8000,9000,0.6,2
9047,2021-07-03,2021-10-04,6.92,9000,100000,0.3,93
3190,2021-12-26,2021-12-28,0.37,3000,4000,2.1,2
2661,2021-02-03,2021-12-13,54.77,2000,3000,2.4,313
737,2021-07-02,2021-09-09,4.18,0,1000,3.0,69
2771,2021-11-29,2021-12-15,2.92,2000,3000,2.4,16
4644,2021-12-09,2021-12-10,0.23,4000,5000,1.8,1
7615,2021-10-08,2021-12-16,12.96,7000,8000,0.9,69
1254,2021-01-06,2021-09-10,22.91,1000,2000,2.7,247
8682,2021-08-18,2021-11-25,14.13,8000,9000,0.6,99
7254,2021-12-30,2021-12-30,0.0,7000,8000,0.9,0
2332,2021-04-22,2021-07-19,13.49,2000,3000,2.4,88
5133,2021-08-04,2021-12-08,26.58,5000,6000,1.5,126
4121,2021-11-03,2021-11-18,3.05,4000,5000,1.8,15
4154,2021-07-15,2021-10-02,16.18,4000,5000,1.8,79
2872,2021-03-06,2021-04-21,8.69,2000,3000,2.4,46
5717,2021-10-20,2021-10-22,0.47,5000,6000,1.5,2
5344,2021-07-01,2021-12-22,38.21,5000,6000,1.5,174
7483,2021-07-21,2021-12-13,26.75,7000,8000,0.9,145
6248,2021-11-03,2021-11-12,1.85,6000,7000,1.2,9
2128,2021-09-18,2021-10-01,1.82,2000,3000,2.4,13
910,2021-04-10,2021-04-10,0.0,0,1000,3.0,0
4143,2021-01-10,2021-09-18,51.28,4000,5000,1.8,251
9379,2021-03-29,2021-05-18,3.85,9000,100000,0.3,50
3175,2021-11-19,2021-12-16,4.93,3000,4000,2.1,27
1503,2021-09-06,2021-10-20,4.89,1000,2000,2.7,44
3877,2021-07-01,2021-07-27,5.8,3000,4000,2.1,26
5872,2021-11-04,2021-12-07,7.96,5000,6000,1.5,33
9554,2021-07-22,2021-08-15,1.88,9000,100000,0.3,24
9833,2021-05-29,2021-06-28,2.42,9000,100000,0.3,30
5649,2021-04-02,2021-08-13,30.88,5000,6000,1.5,133
4640,2021-12-16,2021-12-17,0.23,4000,5000,1.8,1
1998,2021-04-27,2021-09-30,23.06,1000,2000,2.7,156
1267,2021-08-26,2021-11-12,7.31,1000,2000,2.7,78
8031,2021-04-01,2021-08-09,17.16,8000,9000,0.6,130
3893,2021-03-15,2021-03-23,1.79,3000,4000,2.1,8
9017,2021-06-05,2021-07-04,2.15,9000,100000,0.3,29
9475,2021-05-30,2021-06-27,2.18,9000,100000,0.3,28
8856,2021-02-03,2021-03-28,7.72,8000,9000,0.6,53
711,2021-05-13,2021-07-10,3.39,0,1000,3.0,58
1351,2021-10-13,2021-11-17,3.5,1000,2000,2.7,35
3495,2021-06-14,2021-11-22,32.37,3000,4000,2.1,161
9317,2021-08-26,2021-09-22,2.07,9000,100000,0.3,27
6796,2021-11-27,2021-12-05,1.79,6000,7000,1.2,8
8609,2021-06-21,2021-09-26,13.73,8000,9000,0.6,97
6004,2021-10-25,2021-12-14,9.87,6000,7000,1.2,50
4622,2021-12-13,2021-12-24,2.51,4000,5000,1.8,11
4393,2021-10-28,2021-12-11,9.53,4000,5000,1.8,44
7022,2021-12-26,2021-12-30,0.69,7000,8000,0.9,4
8513,2021-04-16,2021-09-02,19.45,8000,9000,0.6,139
5144,2021-02-07,2021-06-22,28.54,5000,6000,1.5,135
5767,2021-11-16,2021-12-05,4.5,5000,6000,1.5,19
7297,2021-11-13,2021-12-17,6.12,7000,8000,0.9,34
8007,2021-09-15,2021-12-03,10.4,8000,9000,0.6,79
191,2021-11-19,2021-12-11,0.35,0,1000,3.0,22
4633,2021-01-24,2021-09-24,55.52,4000,5000,1.8,243
4889,2021-09-01,2021-11-22,19.77,4000,5000,1.8,82
1996,2021-11-30,2021-12-26,3.84,1000,2000,2.7,26
8900,2021-07-17,2021-08-09,3.36,8000,9000,0.6,23
4503,2021-12-27,2021-12-27,0.0,4000,5000,1.8,0
4460,2021-04-25,2021-08-31,28.15,4000,5000,1.8,128
8815,2021-06-10,2021-09-13,13.77,8000,9000,0.6,95
8066,2021-05-13,2021-07-01,6.5,8000,9000,0.6,49
9991,2021-02-25,2021-09-07,15.93,9000,100000,0.3,194
6164,2021-01-01,2021-01-01,0.0,6000,7000,1.2,0
7734,2021-09-22,2021-10-23,5.91,7000,8000,0.9,31
4177,2021-09-06,2021-11-23,16.07,4000,5000,1.8,78
2053,2021-11-01,2021-12-13,5.67,2000,3000,2.4,42
8287,2021-02-04,2021-03-02,3.54,8000,9000,0.6,26
7640,2021-08-18,2021-09-15,5.27,7000,8000,0.9,28
2135,2021-01-30,2021-06-09,18.25,2000,3000,2.4,130
9522,2021-12-11,2021-12-18,0.55,9000,100000,0.3,7
2692,2021-09-09,2021-10-11,5.66,2000,3000,2.4,32
7769,2021-10-13,2021-11-15,6.32,7000,8000,0.9,33
2822,2021-03-12,2021-03-15,0.56,2000,3000,2.4,3
1918,2021-12-24,2021-12-25,0.14,1000,2000,2.7,1
8197,2021-02-19,2021-06-24,16.84,8000,9000,0.6,125
6010,2021-03-06,2021-11-09,49.0,6000,7000,1.2,248
1577,2021-12-26,2021-12-27,0.12,1000,2000,2.7,1
2336,2021-02-06,2021-04-18,10.91,2000,3000,2.4,71
6347,2021-09-11,2021-12-08,18.36,6000,7000,1.2,88
